question_id,dimension,role,path,duration_sec,rms,peak,clipping_ratio,silence_ratio,flags
Q001,somatic_mass,target,somatic_mass/Q001_target_level_5_rep_1.wav,4.423,0.1067,0.719238,0.0,0.002604,
Q001,somatic_mass,target,somatic_mass/Q001_target_level_5_rep_2.wav,3.402,0.092834,0.76709,0.0,0.007779,
Q001,somatic_mass,target,somatic_mass/Q001_target_level_5_rep_3.wav,4.133,0.134548,0.952148,0.0,0.00237,
Q001,somatic_mass,target,somatic_mass/Q001_target_level_5_rep_4.wav,3.541,0.162423,0.970703,0.0,0.002485,
Q001,somatic_mass,negative,somatic_mass/Q001_negative_level_1_rep_1.wav,4.505,0.076621,0.467529,0.0,0.006589,
Q001,somatic_mass,negative,somatic_mass/Q001_negative_level_1_rep_2.wav,3.146,0.13485,0.784668,0.0,0.002544,
Q001,somatic_mass,negative,somatic_mass/Q001_negative_level_1_rep_3.wav,3.785,0.169502,0.958984,0.0,0.001809,
Q001,somatic_mass,negative,somatic_mass/Q001_negative_level_1_rep_4.wav,3.715,0.1316,0.875488,0.0,0.002429,
Q002,somatic_mass,target,somatic_mass/Q002_target_level_1_rep_1.wav,4.249,0.151394,0.794434,0.0,0.002081,
Q002,somatic_mass,target,somatic_mass/Q002_target_level_1_rep_2.wav,3.518,0.146207,0.854492,0.0,0.002037,
Q002,somatic_mass,target,somatic_mass/Q002_target_level_1_rep_3.wav,4.017,0.112042,0.675293,0.0,0.002224,
Q002,somatic_mass,target,somatic_mass/Q002_target_level_1_rep_4.wav,3.193,0.160389,0.905273,0.0,0.00206,
Q002,somatic_mass,negative,somatic_mass/Q002_negative_level_5_rep_1.wav,3.68,0.118505,0.768066,0.0,0.001756,
Q002,somatic_mass,negative,somatic_mass/Q002_negative_level_5_rep_2.wav,3.576,0.100627,0.681641,0.0,0.003577,
Q002,somatic_mass,negative,somatic_mass/Q002_negative_level_5_rep_3.wav,3.878,0.13885,0.913574,0.0,0.003129,
Q002,somatic_mass,negative,somatic_mass/Q002_negative_level_5_rep_4.wav,3.75,0.089776,0.571777,0.0,0.005726,
Q003,vitality,target,vitality/Q003_target_level_5_rep_1.wav,3.564,0.111978,0.615723,0.0,0.004256,
Q003,vitality,target,vitality/Q003_target_level_5_rep_2.wav,3.634,0.126596,0.755859,0.0,0.003688,
Q003,vitality,target,vitality/Q003_target_level_5_rep_3.wav,3.286,0.155994,0.958984,0.0,0.002802,
Q003,vitality,target,vitality/Q003_target_level_5_rep_4.wav,4.505,0.085165,0.876953,0.0,0.010037,
Q003,vitality,negative,vitality/Q003_negative_level_1_rep_1.wav,3.843,0.121743,0.634277,0.0,0.002343,
Q003,vitality,negative,vitality/Q003_negative_level_1_rep_2.wav,4.389,0.105153,0.864746,0.0,0.006614,
Q003,vitality,negative,vitality/Q003_negative_level_1_rep_3.wav,3.541,0.131661,0.948242,0.0,0.004579,
Q003,vitality,negative,vitality/Q003_negative_level_1_rep_4.wav,3.75,0.150532,0.71582,0.0,0.002497,
Q004,vitality,target,vitality/Q004_target_level_1_rep_1.wav,3.715,0.096403,0.758789,0.0,0.002948,
Q004,vitality,target,vitality/Q004_target_level_1_rep_2.wav,3.785,0.07275,0.782715,0.0,0.004278,
Q004,vitality,target,vitality/Q004_target_level_1_rep_3.wav,3.773,0.100969,0.730469,0.0,0.002632,
Q004,vitality,target,vitality/Q004_target_level_1_rep_4.wav,3.216,0.081575,0.761719,0.0,0.007213,
Q004,vitality,negative,vitality/Q004_negative_level_5_rep_1.wav,2.322,0.109978,0.703613,0.0,0.002969,
Q004,vitality,negative,vitality/Q004_negative_level_5_rep_2.wav,3.286,0.114702,0.790527,0.0,0.002609,
Q004,vitality,negative,vitality/Q004_negative_level_5_rep_3.wav,3.239,0.081843,0.47998,0.0,0.002884,
